holdout,buffer_km,seed,learner,representation,source_track,target_track,oa,ba
south_holdout_5km_buffer,5.0,43,SVC,I28,t37,t88,45.635416666666664,62.955138058808224
south_holdout_5km_buffer,5.0,43,SVC,I28,t37,t139,44.02083333333333,58.097879827754475
south_holdout_5km_buffer,5.0,43,SVC,I28,t88,t15,50.135416666666664,59.75077692170514
south_holdout_5km_buffer,5.0,43,SVC,I28,t88,t37,49.010416666666664,58.168015775886715
south_holdout_5km_buffer,5.0,43,SVC,I28,t88,t139,44.15625,55.12387146733757
south_holdout_5km_buffer,5.0,43,SVC,I28,t139,t15,46.0625,61.904635190993815
south_holdout_5km_buffer,5.0,43,SVC,I28,t139,t37,45.33333333333333,56.19018825583299
south_holdout_5km_buffer,5.0,43,SVC,I28,t139,t88,41.65625,55.0781720737626
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t15,t37,51.31250000000001,69.6970632328318
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t15,t88,49.072916666666664,71.97112613005275
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t15,t139,45.84375,68.21306211383917
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t37,t15,52.83333333333333,68.50480183540809
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t37,t88,47.833333333333336,69.69065897947593
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t37,t139,45.5,65.40359114701198
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t88,t15,52.21875,69.6589129325368
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t88,t37,51.22916666666667,68.01181346628931
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t88,t139,46.666666666666664,63.94752205165777
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t139,t15,51.27083333333333,72.14387664350727
south_holdout_5km_buffer,5.0,43,SVC,I28_G29,t139,t37,49.572916666666664,65.3769999465425
