learner,params,fold,fold_ba,fold_oa,representation,source_track
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",2,0.4707306912741481,0.6388180590970451,I8,t139
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",3,0.4581193737146559,0.519874006299685,I8,t139
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",1,0.7312828828612723,0.7262636868156592,I8,t139
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",2,0.6522606519004908,0.7282135893205339,I8,t139
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",3,0.6952200949582521,0.5450727463626819,I8,t139
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",1,0.6810417959551003,0.7160641967901605,I8,t139
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",2,0.6317752880607914,0.712014399280036,I8,t139
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",3,0.6775597957214614,0.5545222738863057,I8,t139
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",1,0.45123232379048633,0.5899205039748012,I8,t139
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",2,0.44776461644314036,0.5969701514924254,I8,t139
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",3,0.43329900035265406,0.49617519124043796,I8,t139
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",1,0.7340085926256721,0.7006149692515374,I8,t139
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",2,0.6557401265029192,0.7225138743062847,I8,t139
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",3,0.7015026856756654,0.5774711264436778,I8,t139
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",1,0.7328890700220232,0.7055647217639118,I8,t139
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",2,0.6473474637620772,0.7244637768111595,I8,t139
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",3,0.7034592734230285,0.5801709914504275,I8,t139
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",1,0.7346048473749411,0.6967151642417879,I8,t139
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",2,0.6578880698344249,0.7162141892905355,I8,t139
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",3,0.6993189913528091,0.5765711714414279,I8,t139
RF,"{'max_features': 0.5, 'min_samples_leaf': 5}",1,0.7366611427670497,0.7054147292635369,I8,t139
RF,"{'max_features': 0.5, 'min_samples_leaf': 5}",2,0.6519997521676861,0.7226638668066596,I8,t139
RF,"{'max_features': 0.5, 'min_samples_leaf': 5}",3,0.7011571655350183,0.5771711414429278,I8,t139
RF,"{'max_features': 1.0, 'min_samples_leaf': 1}",1,0.7320683859954442,0.6944652767361632,I8,t139
RF,"{'max_features': 1.0, 'min_samples_leaf': 1}",2,0.650584772806247,0.712314384280786,I8,t139
RF,"{'max_features': 1.0, 'min_samples_leaf': 1}",3,0.691354537976092,0.5732713364331783,I8,t139
RF,"{'max_features': 1.0, 'min_samples_leaf': 5}",1,0.7353014939707126,0.7034648267586621,I8,t139
RF,"{'max_features': 1.0, 'min_samples_leaf': 5}",2,0.6565433489401593,0.7219139043047847,I8,t139
RF,"{'max_features': 1.0, 'min_samples_leaf': 5}",3,0.695765884500543,0.5768711564421779,I8,t139
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",1,0.6424977452179379,0.7468126593670317,I28,t15
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",2,0.5697685203798886,0.7154642267886606,I28,t15
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",3,0.6748335542813299,0.5308234588270586,I28,t15
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",1,0.5412972328953665,0.743662816859157,I28,t15
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",2,0.5400753834421232,0.7231138443077846,I28,t15
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",3,0.5489790575132836,0.559322033898305,I28,t15
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",1,0.4034579235689432,0.5495725213739313,I28,t15
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",2,0.3413069122742033,0.5792710364481776,I28,t15
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",3,0.3424684383532382,0.4034798260086996,I28,t15
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",1,0.7434582647881587,0.751462426878656,I28,t15
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",2,0.6823551689445138,0.7402129893505325,I28,t15
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",3,0.716308932437171,0.5576721163941802,I28,t15
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",1,0.7147549921780882,0.7492125393730313,I28,t15
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",2,0.6554065060757976,0.7432128393580321,I28,t15
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",3,0.7379124543077279,0.6053697315134243,I28,t15
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",1,0.4928355548991211,0.6791660416979151,I28,t15
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",2,0.46841355484386804,0.6770661466926654,I28,t15
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",3,0.4287937754159482,0.4910754462276886,I28,t15
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",1,0.7533268397915263,0.7540122993850308,I28,t15
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",2,0.6913786789895975,0.7457627118644068,I28,t15
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",3,0.7308783309115887,0.583620818959052,I28,t15
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",1,0.6753351401888008,0.7426128693565321,I28,t15
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",2,0.6577006898193982,0.7349632518374082,I28,t15
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",3,0.732233532483727,0.608219589020549,I28,t15
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",1,0.47774662998728024,0.6202189890505475,I28,t15
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",2,0.4550585612925607,0.6353682315884206,I28,t15
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",3,0.43246289514403,0.5008249587520623,I28,t15
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",1,0.6826306367212102,0.7576121193940303,I28,t15
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",2,0.6815248997866258,0.7448627568621569,I28,t15
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",3,0.7258185697803998,0.5972701364931754,I28,t15
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",1,0.6510516902828009,0.712014399280036,I28,t15
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",2,0.6355999780932905,0.7046647667616619,I28,t15
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",3,0.7090915605169354,0.5875206239688016,I28,t15
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",1,0.47591862081871794,0.6179691015449228,I28,t15
